raw_value,host,active,phishing_score,phishing_indicators,verified_phishing,content_hash,final_url,dns_resolved,http_active,http_status,ip_addresses,ssl_valid,filename,check_timestamp
mta-sts.smtp3.iciciprulife.co/,mta-sts.smtp3.iciciprulife.co,True,0,,False,,,True,False,,185.53.178.54,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
9d9a28c3-ca42-43e2-b578-78b49bf03843.random.iciciprulife.co/,9d9a28c3-ca42-43e2-b578-78b49bf03843.random.iciciprulife.co,True,0,,False,,,True,False,,185.53.178.54,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
niloonline.shop,niloonline.shop,True,0,,False,3c4db5ee043083ca,https://niloonline.shop,True,True,200.0,"172.67.134.177,104.21.25.213",True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicidirect.willjini.com/login,icicidirect.willjini.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mta-sts.notexistsicicibank.carreer.com/,mta-sts.notexistsicicibank.carreer.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicibank-9020.zendesk.com,icicibank-9020.zendesk.com,True,0,,False,,,True,False,,"216.198.54.2,216.198.53.2",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
doh.icicibamnk.com/,doh.icicibamnk.com,True,20,LONG_URL|FORMS_FOUND:1,False,bd67d76197848581,https://fb.affinity.net/fb.php?enk=aWNpY2liYW1uay5jb20=&fb=8ae9de255a339e7968a79912aaffa9cc,True,True,200.0,34.111.46.214,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
gpvpn.icicibanbk.com/,gpvpn.icicibanbk.com,True,20,LONG_URL|FORMS_FOUND:1,False,df5a12fbeb1892ba,https://fb.affinity.net/fb.php?enk=aWNpY2liYW5iay5jb20=&fb=2c9b88dcf4095494e9bbfbea4006a9f7,True,True,200.0,34.111.46.214,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-investment.com/login,icici-investment.com,True,0,,False,,,True,False,,"104.21.84.41,172.67.186.22",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
int.icicibamk.com/,int.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
2084b156-25b2-4493-8565-c3a93c6a21ab.icicibank.live/,2084b156-25b2-4493-8565-c3a93c6a21ab.icicibank.live,True,0,,False,,,True,False,,185.53.178.50,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.iihc.icicilomboard.com,ww38.iihc.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww17.int.icicibamk.com/,ww17.int.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww7.icicicareer.com/?usid=104&utid=e2ae6f9bb335c7eb2c8182151dacb3a8,ww7.icicicareer.com,True,0,,False,15cb764430a4a7d6,https://ww7.icicicareer.com,True,True,200.0,199.59.243.228,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.fastagalogin.icicibamk.com,ww25.fastagalogin.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.demo.icicilomboard.com,ww38.demo.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.support.icicilomboard.com,ww38.support.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicmm.com,icicmm.com,True,0,,False,df669c7cc1cffa11,https://icicmm.com,True,True,200.0,154.211.14.101,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
inrprepaid.icicibsnk.com,inrprepaid.icicibsnk.com,True,0,,False,,,True,False,,64.190.63.222,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.crm.icicilomboard.com,ww38.crm.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.bigdata.icicibamk.com,ww25.bigdata.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
california.icicicdirect.com,california.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.dev.icicilomboard.com,ww38.dev.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.i.icicilomboard.com,ww38.i.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww17.inrprepaid.icicibamk.com,ww17.inrprepaid.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.service.icicibamk.com,ww25.service.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.administration.icicilomboard.com,ww38.administration.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
resolver1.icicibamnk.com/,resolver1.icicibamnk.com,True,20,LONG_URL|FORMS_FOUND:1,False,c86012308bf5adca,https://fb.affinity.net/fb.php?enk=aWNpY2liYW1uay5jb20=&fb=adc0cde1042d181861cec14cbd87abd3,True,True,200.0,34.111.46.214,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.icicilomboard.com,ww38.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.smtp.icicilomboard.com,ww38.smtp.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.staging.icicicdirect.com,ww25.staging.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.sitemap.icicilomboard.com,ww38.sitemap.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.user.icicilomboard.com,ww38.user.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.mobile.icicibamk.com,ww25.mobile.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.securesmtp.icicilomboard.com,ww38.securesmtp.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.partner.icicilomboard.com,ww38.partner.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.tickets.icicilomboard.com,ww38.tickets.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.api.icicilomboard.com,ww38.api.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
www.forum.icicicdirect.com,forum.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww16.help.icicibamk.com,ww16.help.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.edison.icicilomboard.com,ww38.edison.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.collectionsapp.icicibamk.com,ww25.collectionsapp.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
arcosdr.iciciprulife.co,arcosdr.iciciprulife.co,True,0,,False,,,True,False,,185.53.178.54,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.forum.icicicdirect.com,ww25.forum.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.staging.icicilomboard.com,ww38.staging.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.bi.icicilomboard.com,ww38.bi.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.click,icici-linkpoint.click,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.xyz,icici-linkpoint.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.fastrack.icicilomboard.com,ww38.fastrack.icicilomboard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.workflow.icicilomboard.com,ww38.workflow.icicilomboard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
vmsweb.icicibsnk.com,vmsweb.icicibsnk.com,True,0,,False,,,True,False,,64.190.63.222,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.lol,icici-linkpoint.lol,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.top,icici-linkpoint.top,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww17.fastaglogin.icicibamk.com,ww17.fastaglogin.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww16.directlink.icicicdirect.com,ww16.directlink.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.nysa.iciciclombard.com,ww38.nysa.iciciclombard.com,True,0,,False,,,True,False,,"13.248.148.254,76.223.26.96",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.notexistsautodiscover.icicibamk.com,ww25.notexistsautodiscover.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
www.ilens.icicibamk.com,ilens.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.backup.icicicdirect.com,ww25.backup.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww38.uat.iciciclombard.com,ww38.uat.iciciclombard.com,True,0,,False,,,True,False,,"76.223.26.96,13.248.148.254",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww17.help.icicibamk.com,ww17.help.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-paylink.click,icici-paylink.click,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
homeclub.shop,homeclub.shop,True,0,,False,,,True,False,,"13.248.169.48,76.223.54.146",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-paylink.cfd,icici-paylink.cfd,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-paylink.xyz,icici-paylink.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.cmart.icicibamk.com,ww25.cmart.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.itasktrailportal.icicprulife.com,ww25.itasktrailportal.icicprulife.com,True,0,,False,1daa667aef53db94,https://ww25.itasktrailportal.icicprulife.com,True,True,200.0,199.59.243.228,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww25.notexistscollectionsapp.icicibamk.com,ww25.notexistscollectionsapp.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicixltops.com,icicixltops.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-paylink.asia,icici-paylink.asia,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicibcxk.sbs,icicibcxk.sbs,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icic-oc.org,icic-oc.org,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciprulife-online.co.in,iciciprulife-online.co.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici.lat,icici.lat,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
ww16.shop.icicicdirect.com,ww16.shop.icicicdirect.com,True,0,,False,,,True,False,,185.53.177.53,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
